Result Number,Entity  ID,Agency,Vendor ID,Recording Technique,Project,Event,Roll,Frame,Acquisition Date,Scale,Strip Number,Image Type,Quality,Cloud Cover,Photo ID,Flying Height in Feet,Film Length and Width,Focal Length,Stereo Overlap,Other,Center Latitude,Center Longitude,NW Corner Lat ,NW Corner Long,NE Corner lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Ordering ID,Download Link
383,AR5780026164722,5,,2,78000,,002616,4722,1978/06/20,63937,0000,13,8,1,5780026164722,65003,229mm x 229mm,304.99 mm,5,,60°47'31.44"N,153°48'33.01"W,60°51'12.00"N,153°56'23.21"W,60°51'12.00"N,153°41'19.61"W,60°43'51.26"N,153°40'43.61"W,60°43'50.48"N,153°55'47.21"W,60.792068,-153.80917,60.853333,-153.93978,60.853333,-153.68878,60.730906,-153.67878,60.73069,-153.92978,AR5780026164722,AR5780026164722,http://earthexplorer.usgs.gov/download/options/4660/AR5780026164722
384,AR5780026164791,5,,2,78000,,002616,4791,1978/06/20,65142,0000,13,8,0,5780026164791,65003,229mm x 229mm,304.99 mm,5,,60°29'36.42"N,155°03'59.18"W,60°33'24.00"N,155°11'42.00"W,60°33'24.00"N,154°56'30.01"W,60°25'49.65"N,154°56'17.99"W,60°25'48.00"N,155°11'30.01"W,60.493451,-155.066439,60.556667,-155.195,60.556667,-154.94167,60.430457,-154.93833,60.43,-155.19167,AR5780026164791,AR5780026164791,http://earthexplorer.usgs.gov/download/options/4660/AR5780026164791
385,AR5780026164790,5,,2,78000,,002616,4790,1978/06/20,65650,0000,13,8,0,5780026164790,65003,229mm x 229mm,304.99 mm,6,,60°30'01.71"N,155°10'24.00"W,60°33'45.42"N,155°18'11.99"W,60°33'48.00"N,155°03'00.00"W,60°26'18.00"N,155°02'35.99"W,60°26'15.42"N,155°17'48.01"W,60.500476,-155.173333,60.562617,-155.30333,60.563333,-155.05,60.438333,-155.04333,60.437618,-155.29667,AR5780026164790,AR5780026164790,http://earthexplorer.usgs.gov/download/options/4660/AR5780026164790
386,AR5780026164753,5,,2,78000,,002616,4753,1978/06/20,64600,0000,13,8,0,5780026164753,65003,229mm x 229mm,304.99 mm,5,,60°36'55.47"N,155°04'45.43"W,60°40'40.05"N,155°12'00.00"W,60°40'37.92"N,154°56'51.00"W,60°33'12.00"N,154°57'33.01"W,60°33'12.00"N,155°12'42.01"W,60.615408,-155.079285,60.677793,-155.2,60.677201,-154.9475,60.553333,-154.95917,60.553333,-155.21167,AR5780026164753,AR5780026164753,http://earthexplorer.usgs.gov/download/options/4660/AR5780026164753
387,AR5780026164752,5,,2,78000,,002616,4752,1978/06/20,64600,0000,13,8,0,5780026164752,65003,229mm x 229mm,304.99 mm,5,,60°36'54.98"N,154°57'54.42"W,60°40'39.09"N,155°05'08.27"W,60°40'36.96"N,154°50'00.74"W,60°33'12.00"N,154°50'42.76"W,60°33'12.00"N,155°05'50.24"W,60.615273,-154.965117,60.677525,-155.08563,60.676933,-154.83354,60.553333,-154.84521,60.553333,-155.09729,AR5780026164752,AR5780026164752,http://earthexplorer.usgs.gov/download/options/4660/AR5780026164752
388,AR5780026164751,5,,2,78000,,002616,4751,1978/06/20,64600,0000,13,8,0,5780026164751,65003,229mm x 229mm,304.99 mm,5,,60°36'54.50"N,154°51'04.92"W,60°40'38.13"N,154°58'18.01"W,60°40'36.00"N,154°43'12.00"W,60°33'12.00"N,154°43'54.01"W,60°33'12.00"N,154°58'59.99"W,60.615139,-154.851368,60.677258,-154.97167,60.676667,-154.72,60.553333,-154.73167,60.553333,-154.98333,AR5780026164751,AR5780026164751,http://earthexplorer.usgs.gov/download/options/4660/AR5780026164751
389,AR5780026164750,5,,2,78000,,002616,4750,1978/06/20,64000,0000,13,8,1,5780026164750,65003,229mm x 229mm,304.99 mm,5,,60°36'53.83"N,154°44'18.50"W,60°40'36.00"N,154°51'36.00"W,60°40'30.13"N,154°36'54.00"W,60°33'11.16"N,154°37'00.01"W,60°33'18.00"N,154°51'42.01"W,60.614952,-154.738471,60.676667,-154.86,60.675037,-154.615,60.553099,-154.61667,60.555,-154.86167,AR5780026164750,AR5780026164750,http://earthexplorer.usgs.gov/download/options/4660/AR5780026164750
390,AR5780026164851,5,,2,78000,,002616,4851,1978/06/20,64538,0000,13,8,0,5780026164851,65003,229mm x 229mm,304.99 mm,5,,60°42'09.18"N,155°00'48.98"W,60°45'39.63"N,155°08'31.49"W,60°45'59.70"N,154°53'34.51"W,60°38'37.83"N,154°53'04.49"W,60°38'19.69"N,155°08'01.50"W,60.70255,-155.013606,60.761008,-155.14208,60.766584,-154.89292,60.643842,-154.88458,60.638804,-155.13375,AR5780026164851,AR5780026164851,http://earthexplorer.usgs.gov/download/options/4660/AR5780026164851
391,AR5780026164749,5,,2,78000,,002616,4749,1978/06/20,64000,0000,13,8,1,5780026164749,65003,229mm x 229mm,304.99 mm,5,,60°36'50.94"N,154°37'38.66"W,60°40'33.35"N,154°44'57.26"W,60°40'27.47"N,154°30'13.07"W,60°33'08.04"N,154°30'19.08"W,60°33'14.90"N,154°45'03.24"W,60.61415,-154.627405,60.67593,-154.74924,60.674296,-154.50363,60.552234,-154.5053,60.55414,-154.7509,AR5780026164749,AR5780026164749,http://earthexplorer.usgs.gov/download/options/4660/AR5780026164749
392,AR5780026164794,5,,2,78000,,002616,4794,1978/06/20,65142,0000,13,8,0,5780026164794,65003,229mm x 229mm,304.99 mm,5,,60°29'37.52"N,154°43'35.19"W,60°33'24.00"N,154°51'15.01"W,60°33'24.00"N,154°36'09.00"W,60°25'51.85"N,154°35'57.01"W,60°25'50.21"N,154°51'03.02"W,60.493756,-154.726443,60.556667,-154.85417,60.556667,-154.6025,60.43107,-154.59917,60.430615,-154.85084,AR5780026164794,AR5780026164794,http://earthexplorer.usgs.gov/download/options/4660/AR5780026164794
